Year, Rainfall(mm), Temperature(degrees)
1940,372.7,20.9
1941,541.9,19.7
1942,640.4,19.8
1943,581.3,18.1
1944,304.6,20.4
1945,603.9,19.4
1946,523.1,19.6
1947,669.2,19.6
1948,801.5,18.6
1949,646.9,18.7
1950,1062.5,19
1951,460,19.5
1952,965.4,18.7
1953,494.2,19.3
1954,457.7,19.7
1955,735.5,18.7
1956,888.3,17.9
1957,341.5,20.4
1958,613.1,19.1
1959,892.5,19.5
1960,813.6,18.7
1961,774.2,19.4
1962,654,18.9
1963,619.1,19.2
1964,643.1,18.9
1965,400.3,20.1
1966,692.1,18.7
1967,352,20.2
1968,515.2,19.7
1969,759.1,19.2
1970,722.4,18.7
1971,616,19.1
1972,396.1,20.1
1973,755,19.9
1974,977,18.7
1975,771,19.4
1976,592.8,19
1977,513,20
1978,771,19
1979,392.2,20.5
1980,476.8,21
1981,651.4,19.9
1982,261.6,21.2
1983,757,19.4
1984,739.6,18.8
1985,567.8,19.6
1986,529.6,19.4
1987,587.8,20
1988,765,20.1
1989,825.4,18.9
1990,617.2,19.7
1991,598.2,20.4
1992,770.8,18.4
1993,692.2,19.6
1994,383.4,20.4
1995,801,19
1996,672.6,19.1
1997,426,21
1998,669.2,20.5
1999,711.8,19.9
2000,626.4,19.8
2001,500,20.7
2002,505.4,21
2003,569.2,20.3
2004,435.2,21.1
2005,648.6,21
2006,361.2,21.8
2007,568.4,21.2
2008,534.8,20.4
2009,431.4,21.7
2010,959.6,20.3
2011,577.7,20.3
2012,693.6,20.1
2013,533.8,21.8
2014,568.6,21.5
2015,545.6,21.1
2016,788.2,21.2
2017,486,21.6
2018,472,22
