year,rainfall,temperature
1979,392.2,20.5
1980,476.8,21
1981,651.4,19.9
1982,261.6,21.2
1983,757,19.4
1984,739.6,18.8
1985,567.8,19.6
1986,529.6,19.4
1987,587.8,20
1988,765,20.1
1989,825.4,18.9
1990,617.2,19.7
1991,598.2,20.4
1992,770.8,18.4
1993,692.2,19.6
1994,383.4,20.4
1995,801,19
1996,672.6,19.1
1997,426,21
1998,669.2,20.5
1999,711.8,19.9
2000,626.4,19.8
2001,500,20.7
2002,505.4,21
2003,569.2,20.3
2004,435.2,21.1
2005,648.6,21
2006,361.2,21.8
2007,568.4,21.2
2008,534.8,20.4
2009,431.4,21.7
2010,959.6,20.3
2011,577.7,20.3
2012,693.6,20.1
2013,533.8,21.8
2014,568.6,21.5
2015,545.6,21.1
2016,788.2,21.2
2017,486,21.6
2018,472,22
